,Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available,ID,Station,Elev (feet),Latitude,Longitude,County,River Basin,Sensor,PE Code,Description,Units
1037,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,08/07/2018 to present,SIR,SIMS RAWS,2580,41.0733,-122.3733,SHASTA,SACRAMENTO R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1038,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,09/29/1987 to present,SLD,SOLDIER MOUNTAIN,3710,40.926,-121.586,SHASTA,PIT R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1039,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,07/10/1990 to present,SSB,SOMES BAR,920,41.333,-123.5,HUMBOLDT,KLAMATH R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1040,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,11/01/2019 to present,SWX,SONORA WEATHER STATION,2221,37.961455,-120.324102,TUOLUMNE,TUOLUMNE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1041,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),SATELLITE,06/24/2019 to present,SWX,SONORA WEATHER STATION,2221,37.961455,-120.324102,TUOLUMNE,TUOLUMNE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1042,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),DATA XCHG-NWS,10/01/1995 to present,SQL,SOQUEL CREEK,30,36.983,-121.95,SANTA CRUZ,SAN LORENZO R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1043,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,07/01/1994 to present,SPL,STAMPEDE (USFS),6867,39.483,-120.054,SIERRA,TRUCKEE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1044,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,12/09/2014 to present,SCG,STONY CK NR GRIZZLY FLAT (CO RD 200A),496,39.73181,-122.413997,GLENN,STONY CR,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1045,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,11/25/2014 to present,SUW,STONY CREEK NR SUWANNA RANCH (CO RD 410),890,39.484825,-122.514133,GLENN,STONY CR,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1046,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,08/01/2018 to present,SNY,STONYFORD RAWS,1263,39.3672,-122.5728,COLUSA,STONY CR,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1047,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),DATA XCHG-NWS,03/23/2015 to present,HRY,STRONG RANCH - HURLEY WAY,35,38.586945,-121.405281,SACRAMENTO,AMERICAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1048,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),SATELLITE,01/20/2010 to present,SCW,SUCCESS WEATHER,590,36.05,-118.9139,TULARE,TULE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1049,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,09/08/2000 to present,SUG,SUGARLOAF (USFS),4200,40.917,-122.438,SHASTA,SACRAMENTO R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1050,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),SATELLITE,04/16/1999 to present,FAR,TRUCKEE RIVER AT FARAD,5153,39.427963,-120.034088,NEVADA,TRUCKEE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1051,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,10/05/2013 to present,POU,TUOLUMNE STF 2 PORTABLE RAWS,2800,37.9487,-120.2706,TUOLUMNE,TUOLUMNE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1052,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),DATA XCHG-NWS,04/30/2019 to present,TWT,TWITCHELL,692,34.983,-120.317,SAN LUIS OBISPO,SANTA MARIA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1053,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),SATELLITE,05/18/2017 to present,UCM,UC MERCED WEATHER STATION,270,37.36911,-120.42013,MERCED,SAN JOAQUIN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1054,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,03/01/2018 to present,UMT,UPPER MET,7920,38.4518,-120.1353,CALAVERAS,MOKELUMNE R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1055,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),SATELLITE,01/06/2014 to present,VIL,VAIL LAKE,1470,33.496,-116.976,RIVERSIDE,SANTA MARGARITA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1056,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,05/01/2011 to present,WWS,WESTLEY WEATHER STATION,88,37.5172,-121.2308,STANISLAUS,SAN JOAQUIN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1057,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-SMUD,10/27/2020 to present,WRG,WRIGHTS LAKE,6900,38.847,-120.233,EL DORADO,AMERICAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1058,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,07/01/1996 to present,AGW,A.G. WISHON (PG&E),1000,37.151,-119.505,MERCED,SAN JOAQUIN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1059,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-USACE SAC,02/06/1989 to present,ALS,ALDER SPRINGS (USACE),4500,39.65,-122.725,GLENN,STONY CR,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1060,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2009 to present,ADS,ALDER SPRINGS NEAR ELK CREEK,4500,39.65,-122.725,GLENN,STONY CR,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1061,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/01/1987 to present,ALY,ALLEGHANY,4957,39.47,-120.875,SIERRA,YUBA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1062,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2003 to present,API,ALPINE,2041,32.834,-116.739,SAN DIEGO,SAN DIEGO R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1063,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/01/1987 to present,ANG,ANGWIN,1815,38.5712,-122.4332,NAPA,NAPA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1064,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/01/1987 to present,ANT,ANTELOPE LAKE,4960,40.18,-120.607,PLUMAS,FEATHER R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1065,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,03/06/1989 to present,ARW,ARDEN WAY,35,38.596,-121.413,SACRAMENTO,AMERICAN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1066,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/06/2004 to present,ARS,ARROWHEAD SPRINGS HOTEL,2000,34.184,-117.264,SAN BERNARDINO,LYTLE CR,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1067,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2005 to present,ARY,ARROYO SECO,980,36.23,-121.488,MONTEREY,SALINAS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1068,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),MANUAL ENTRY,01/01/1989 to present,ASM,ASH MOUNTAIN,1708,36.483,-118.833,TULARE,KAWEAH R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1069,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/01/1987 to present,ATL,ATLAS PEAK,1660,38.428333,-122.248333,NAPA,NAPA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1070,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/05/1989 to present,ATW,ATWELL CAMP,6400,36.464,-118.631,TULARE,KAWEAH R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1071,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/31/1989 to present,ADR,AUBURN DAM RIDGE,1200,38.882,-121.045,PLACER,AMERICAN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1072,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-NWS,07/01/1995 to present,BFK,BAKERSFIELD AIRPORT,494,35.434,-119.054,KERN,TULARE LAKE,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1073,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,07/01/1996 to present,BAL,BALCH PH (PG&E),1720,36.909,-119.089,FRESNO,KINGS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1074,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/31/1989 to present,BDM,BALD MOUNTAIN (USBR),4720,37.067,-119.4,FRESNO,SAN JOAQUIN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1075,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2005 to present,BGR,BANGOR,800,39.38073,-121.386246,BUTTE,YUBA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1076,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/31/1989 to present,BTR,BATTLE RIDGE,3400,40.333,-121.75,TEHAMA,SACTO VLY NE,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1077,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/03/1987 to present,BCH,BEACH MEADOWS,7650,36.126095,-118.293457,TULARE,KERN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1078,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-USACE SAC,10/01/2015 to present,BAR,BEAR,319,37.367,-120.217,MARIPOSA,MERCED R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1079,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,03/09/1998 to present,BRE,BEAR R AT ROLLINS RESERVOIR,1945,39.133,-120.953,PLACER,BEAR R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1080,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,07/01/2012 to present,CFW,BEAR RIVER AT CAMP FAR WEST DAM,260,39.05,-121.317,YUBA,BEAR R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1081,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/01/1986 to present,BRM,BEAR TRAP MEADOW,6800,36.676,-118.858,TULARE,KAWEAH R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1082,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-USBR,04/01/2000 to present,BRD,BEARDSLEY LAKE,3398,38.203,-120.075,TUOLUMNE,STANISLAUS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1083,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2015 to present,BLN,BEN LOMOND,365,37.093,-122.075,SANTA CRUZ,SAN LORENZO R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1084,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2015 to present,BLO,BEN LOMOND (CDF),2630,37.132,-122.17,SANTA CRUZ,SAN LORENZO R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1085,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-USBR,10/01/1997 to present,BER,BERRYESSA,456,38.513,-122.104,NAPA,PUTAH CR,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1086,"PRECIPITATION, INCREMENTAL, INCHES",45,(event),(PPT INC),DATA XCHG-SCWA,03/04/2016 to 12/08/2020,BER,BERRYESSA,456,38.513,-122.104,NAPA,PUTAH CR,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1087,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,09/29/1992 to present,BHL,BEVERLY HILLS,1260,34.125,-118.42,LOS ANGELES,LOS ANGELES R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1088,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),MANUAL ENTRY,01/01/1989 to present,BGB,BIG BAR,1270,40.733,-123.2,TRINITY,TRINITY R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1089,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),MANUAL ENTRY,01/01/1989 to 08/02/2020,BGC,BIG CREEK 1,4878,37.205,-119.24,FRESNO,SAN JOAQUIN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1090,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/07/2004 to present,BDD,BIG DALTON DAM,1587,34.17,-117.808,LOS ANGELES,SAN GABRIEL R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1091,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/02/1985 to present,BFL,BIG FLAT,5100,41.08,-122.942,TRINITY,TRINITY R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1092,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/03/1987 to present,BIM,BIG MEADOWS (DWR),7600,36.715366,-118.84343,TULARE,KINGS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1093,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-USACE SAC,02/15/1989 to present,BLB,BLACK BUTTE,426,39.808,-122.329,TEHAMA,STONY CR,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1094,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/01/1987 to present,BLM,BLACK MOUNTAIN,3625,35.395,-120.353,SAN LUIS OBISPO,SALINAS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1095,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,11/24/1988 to present,BLS,BLACK SPRINGS,6500,38.375,-120.192,CALAVERAS,STANISLAUS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1096,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2002 to present,BLA,BLACKS MOUNTAIN,7050,40.769836,-121.199722,LASSEN,PIT R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1097,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/31/1989 to present,BLD,BLOODS CREEK,7200,38.45,-120.033,ALPINE,STANISLAUS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1098,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/01/1988 to present,BLC,BLUE CANYON,5280,39.28011,-120.70871,PLACER,AMERICAN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1099,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),MANUAL ENTRY,10/01/1996 to 06/02/2020,BYM,BLUE CANYON (DWR-2),5280,39.283,-120.7,PLACER,AMERICAN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1100,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/31/1989 to present,BNK,BONANZA KING,6450,41.083,-122.628,TRINITY,TRINITY R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1101,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2015 to present,BDC,BOULDER CREEK,800,37.142,-122.163,SANTA CRUZ,SAN LORENZO R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1102,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2006 to present,BOL,BOWMAN LAKE,5390,39.4481,-120.6536,NEVADA,YUBA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1103,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/31/1989 to present,BDY,BRANDY CREEK,1300,40.617,-122.567,SHASTA,SACTO VLY NE,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1104,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2002 to present,BPT,BRIDGEPORT,6650,38.272,-119.289,MONO,WALKER R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1105,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/26/1996 to present,BGV,BRIDGEVILLE,646,40.474,-123.792,HUMBOLDT,VAN DUZEN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1106,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),MANUAL ENTRY,10/01/2011 to 04/10/2018,BVA,BROWNS VALLEY (CIMIS 84),940,39.252561,-121.31567,YUBA,YUBA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1107,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/01/1986 to present,BRS,BRUSH CREEK (DWR),3560,39.692,-121.339,BUTTE,FEATHER R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1108,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),MANUAL ENTRY,10/01/1996 to 03/01/2020,BCM,BRUSH CREEK (DWR-2),3560,39.694,-121.34,BUTTE,FEATHER R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1109,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-USACE SAC,01/04/1988 to present,BUC,BUCHANAN DAM,450,37.213,-119.97,MADERA,CHOWCHILLA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1110,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2005 to present,BKM,BUCK MEADOWS,3200,37.8233,-120.0975,TUOLUMNE,TUOLUMNE R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1111,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/1998 to present,BUP,BUCKS CREEK POWERHOUSE,1760,39.917,-121.333,PLUMAS,FEATHER R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1112,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/1996 to present,BKL,BUCKS LAKE,5750,39.85,-121.242,PLUMAS,FEATHER R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1113,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,11/16/2009 to present,BUD,BULLARDS BAR,2100,39.3963,-121.1439,YUBA,YUBA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1114,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-USACE SAC,02/06/1989 to present,BNR,BUNNING RANCH,1520,37.3678,-119.89,MARIPOSA,FRESNO R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1115,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2003 to present,BNY,BURNS CANYON,6000,34.208,-116.6217,SAN BERNARDINO,WHITEWATER R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1116,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-USACE SAC,08/07/1988 to present,BUR,BURNS CREEK DAM,319,37.377,-120.275,MERCED,MERCED R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1117,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2008 to present,BAP,BYRON AIRPORT,43,37.8306,-121.6225,CONTRA COSTA,DELTA,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1118,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-USBR,01/07/2005 to present,CCH,CACHUMA LAKE,781,34.583,-119.98,SANTA BARBARA,SANTA YNEZ R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1119,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2008 to present,CAU,CAHUILLA,278,32.974,-115.174,IMPERIAL,COLORADO R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1120,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),MANUAL ENTRY,01/01/1989 to present,CVT,CALAVERAS BIG TREES,4695,38.283,-120.317,CALAVERAS,STANISLAUS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1121,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/31/1989 to present,CVS,CALAVERAS RANGER STATION,3360,38.19661,-120.36755,CALAVERAS,STANISLAUS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1122,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,04/01/1999 to present,CSU,CALIFORNIA STATE UNIV AT SACRAMENTO,25,38.555,-121.416,SACRAMENTO,AMERICAN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1123,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/06/2004 to present,CAG,CAMP ANGELUS,5780,34.15,-116.978,SAN BERNARDINO,SANTA ANA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1124,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,09/21/2015 to present,CPS,CAMP SECO RAWS,399,38.22361,-120.866386,CALAVERAS,CALAVERAS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1125,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/01/1987 to present,CAM,CAMPTONVILLE (DWR),2755,39.451,-121.049,YUBA,YUBA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1126,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-PGE,01/01/1989 to present,CNY,CANYON DAM,4560,40.167,-121.083,PLUMAS,FEATHER R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1127,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/03/1987 to present,CAP,CAPLES LAKE,8000,38.71,-120.042,ALPINE,AMERICAN R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1128,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/01/1989 to present,CBO,CARIBOU PH,2986,40.085,-121.15,PLUMAS,FEATHER R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1129,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2009 to present,CSH,CASHMAN,4520,40.0019,-120.916,PLUMAS,FEATHER R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1130,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2001 to present,CGR,CEDAR GROVE,4720,36.788,-118.659,TULARE,KINGS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1131,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,11/01/2016 to present,CSL,CENT SIERRA SNOW LAB,6900,39.325,-120.367,NEVADA,YUBA R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1132,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,01/03/1987 to present,CRL,CHARLOTTE LAKE,10400,36.77752,-118.42601,FRESNO,KINGS R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1133,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),COMPUTED,10/01/2003 to present,CHE,CHEESEBORO,1650,34.1847,-118.7172,VENTURA,VENTURA LA COASTAL,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
1134,"PRECIPITATION, INCREMENTAL, INCHES",45,(daily),(PPT INC),DATA XCHG-USACE SAC,01/08/1985 to present,CHV,CHERRY VALLEY DAM,4765,37.967,-119.917,TUOLUMNE,TUOLUMNE R,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
